Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-MAR-2025,60134.8,60350.05,59844.1,60114.35,321908848,12546.06
07-MAR-2025,60113.7,60391.9,59673.65,59852.55,287756810,10547.16
10-MAR-2025,59900.75,60318.15,58854.4,58972,316554179,11611.61
11-MAR-2025,58351.45,59469.4,58162.4,59274.1,356540394,11343.24
12-MAR-2025,59502,59751.9,58554.55,59277.55,310596583,10421.15
13-MAR-2025,59618.9,59883.55,58914.15,58976.1,283148412,10497.26
17-MAR-2025,59056.6,59583.1,59006.15,59406.6,245154741,9100.04
18-MAR-2025,59793.5,61049.2,59677.3,60971.4,319362440,11701.89
19-MAR-2025,61205.05,62095.2,60989.75,61953.45,313449785,12549.8
20-MAR-2025,62373.65,62553.1,61717.45,62309.35,298938933,12595.19
21-MAR-2025,62319.4,63063.1,62214.15,62855.85,523090489,18428.1
24-MAR-2025,63373.05,63794.6,63114.85,63638.4,368294248,13608.73
25-MAR-2025,64133.3,64141.3,62589.8,62703.75,364580320,13766.86
26-MAR-2025,62721.45,63186.85,62388.6,62460.8,389383445,15284.98
27-MAR-2025,62298.55,63606.7,62165.5,63442.55,1138042246,29170.17
28-MAR-2025,63471.8,63916.9,62917.75,63043.2,267443251,12108.43
01-APR-2025,62981.1,63339.15,62181.2,62372.1,193125898,10952.37
02-APR-2025,62466.55,63143.25,61933.7,63087.1,192800308,9850.55
03-APR-2025,62604.15,63259.7,62551.4,63104.3,250250933,10851.69
04-APR-2025,63090.05,63330.95,61162,61468.7,305792208,13440.27
07-APR-2025,57256.55,59815.6,57250.25,59546.2,351220505,16071.94
08-APR-2025,60665.25,61094.65,59904.45,60807.55,250899369,11966.73
09-APR-2025,60779.8,60950.5,60101.65,60664.6,205937481,10027.05
11-APR-2025,61839.15,61839.15,61137.7,61473.55,216144052,10576.89
15-APR-2025,62862.15,63452.9,62301.9,63374.3,290422875,12680.49
16-APR-2025,63454.8,63843.4,63231.75,63798.55,263804623,11409.18
17-APR-2025,63770.8,64419.3,63508.95,64255.55,244278315,11774.16
21-APR-2025,64750.35,65496.65,64441.8,65406.2,264574931,11568.97
22-APR-2025,65649.25,65886.4,65141.6,65548.4,265802837,11432.43
